pandas_ind,index,title,content,img_link
0,https://docs.oracle.com/en/solutions/implement-lbaas-error-page/index.html,Implement a custom error page for a load balancer using cloud native services,Region,https://docs.oracle.com/en/solutions/implement-lbaas-error-page/img/lbaas-maintenance-page.png
0,https://docs.oracle.com/en/solutions/implement-lbaas-error-page/index.html,Implement a custom error page for a load balancer using cloud native services,Availability domains,https://docs.oracle.com/en/solutions/implement-lbaas-error-page/img/lbaas-maintenance-page.png
0,https://docs.oracle.com/en/solutions/implement-lbaas-error-page/index.html,Implement a custom error page for a load balancer using cloud native services,Virtual cloud network (VCN) and subnets,https://docs.oracle.com/en/solutions/implement-lbaas-error-page/img/lbaas-maintenance-page.png
0,https://docs.oracle.com/en/solutions/implement-lbaas-error-page/index.html,Implement a custom error page for a load balancer using cloud native services,Load balancer,https://docs.oracle.com/en/solutions/implement-lbaas-error-page/img/lbaas-maintenance-page.png
0,https://docs.oracle.com/en/solutions/implement-lbaas-error-page/index.html,Implement a custom error page for a load balancer using cloud native services,Functions,https://docs.oracle.com/en/solutions/implement-lbaas-error-page/img/lbaas-maintenance-page.png
0,https://docs.oracle.com/en/solutions/implement-lbaas-error-page/index.html,Implement a custom error page for a load balancer using cloud native services,Notifications,https://docs.oracle.com/en/solutions/implement-lbaas-error-page/img/lbaas-maintenance-page.png
0,https://docs.oracle.com/en/solutions/implement-lbaas-error-page/index.html,Implement a custom error page for a load balancer using cloud native services,Monitoring,https://docs.oracle.com/en/solutions/implement-lbaas-error-page/img/lbaas-maintenance-page.png
0,https://docs.oracle.com/en/solutions/implement-lbaas-error-page/index.html,Implement a custom error page for a load balancer using cloud native services,Object storage,https://docs.oracle.com/en/solutions/implement-lbaas-error-page/img/lbaas-maintenance-page.png
1,https://docs.oracle.com/en/solutions/migrate-to-atp/index.html,Migrate an on-premises Oracle Database deployment to an autonomous database,On-premises deployment,https://docs.oracle.com/en/solutions/migrate-to-atp/img/migrate-atp.png
1,https://docs.oracle.com/en/solutions/migrate-to-atp/index.html,Migrate an on-premises Oracle Database deployment to an autonomous database,Region,https://docs.oracle.com/en/solutions/migrate-to-atp/img/migrate-atp.png
